# Resultados del Sistema de EDOs - Variable y1
# dy1/dx = f1(x, y1, y2)
# dy2/dx = f2(x, y1, y2)
# Condiciones iniciales: y1(0.000000) = 0.000000, y2(0.000000) = 2.000000
# Intervalo: [0.000000, 1.000000]
# Paso h: 0.010000
# Número de pasos: 100
#
# x_i	y1_i
0.0000000000	0.0000000000
0.0100000000	0.0200000000
0.0200000000	0.0396000000
0.0300000000	0.0587980000
0.0400000000	0.0775922400
0.0500000000	0.0959811962
0.0600000000	0.1139635772
0.0700000000	0.1315383199
0.0800000000	0.1487045860
0.0900000000	0.1654617576
0.1000000000	0.1818094335
0.1100000000	0.1977474250
0.1200000000	0.2132757519
0.1300000000	0.2283946386
0.1400000000	0.2431045097
0.1500000000	0.2574059860
0.1600000000	0.2712998806
0.1700000000	0.2847871943
0.1800000000	0.2978691118
0.1900000000	0.3105469973
0.2000000000	0.3228223905
0.2100000000	0.3346970024
0.2200000000	0.3461727109
0.2300000000	0.3572515566
0.2400000000	0.3679357392
0.2500000000	0.3782276122
0.2600000000	0.3881296800
0.2700000000	0.3976445926
0.2800000000	0.4067751421
0.2900000000	0.4155242583
0.3000000000	0.4238950046
0.3100000000	0.4318905739
0.3200000000	0.4395142843
0.3300000000	0.4467695751
0.3400000000	0.4536600031
0.3500000000	0.4601892376
0.3600000000	0.4663610575
0.3700000000	0.4721793464
0.3800000000	0.4776480889
0.3900000000	0.4827713670
0.4000000000	0.4875533554
0.4100000000	0.4919983184
0.4200000000	0.4961106054
0.4300000000	0.4998946476
0.4400000000	0.5033549536
0.4500000000	0.5064961061
0.4600000000	0.5093227581
0.4700000000	0.5118396291
0.4800000000	0.5140515012
0.4900000000	0.5159632161
0.5000000000	0.5175796709
0.5100000000	0.5189058150
0.5200000000	0.5199466464
0.5300000000	0.5207072083
0.5400000000	0.5211925856
0.5500000000	0.5214079018
0.5600000000	0.5213583153
0.5700000000	0.5210490166
0.5800000000	0.5204852248
0.5900000000	0.5196721842
0.6000000000	0.5186151619
0.6100000000	0.5173194439
0.6200000000	0.5157903327
0.6300000000	0.5140331440
0.6400000000	0.5120532039
0.6500000000	0.5098558460
0.6600000000	0.5074464087
0.6700000000	0.5048302322
0.6800000000	0.5020126561
0.6900000000	0.4989990163
0.7000000000	0.4957946430
0.7100000000	0.4924048577
0.7200000000	0.4888349708
0.7300000000	0.4850902791
0.7400000000	0.4811760639
0.7500000000	0.4770975877
0.7600000000	0.4728600931
0.7700000000	0.4684687996
0.7800000000	0.4639289019
0.7900000000	0.4592455677
0.8000000000	0.4544239358
0.8100000000	0.4494691137
0.8200000000	0.4443861761
0.8300000000	0.4391801627
0.8400000000	0.4338560765
0.8500000000	0.4284188820
0.8600000000	0.4228735032
0.8700000000	0.4172248226
0.8800000000	0.4114776789
0.8900000000	0.4056368657
0.9000000000	0.3997071298
0.9100000000	0.3936931703
0.9200000000	0.3875996363
0.9300000000	0.3814311265
0.9400000000	0.3751921870
0.9500000000	0.3688873108
0.9600000000	0.3625209360
0.9700000000	0.3560974451
0.9800000000	0.3496211634
0.9900000000	0.3430963587
1.0000000000	0.3365272396
