# Problema 3 - Runge-Kutta 4to orden (h = 0.0100)
# i x y_numerico y_exacto error_absoluto error_porcentual
0 0.0000000000 0.0000000000 0.0000000000 0.0000000000e+00 0.0000000000
1 0.0100000000 0.0197996767 0.0197996766 3.1727228483e-11 0.0000001602
2 0.0200000000 0.0391974924 0.0391974923 6.4157054669e-11 0.0000001637
3 0.0300000000 0.0581918024 0.0581918023 9.7220981266e-11 0.0000001671
4 0.0400000000 0.0767811941 0.0767811940 1.3085163508e-10 0.0000001704
5 0.0500000000 0.0949644836 0.0949644835 1.6498288846e-10 0.0000001737
6 0.0600000000 0.1127407113 0.1127407111 1.9954975172e-10 0.0000001770
7 0.0700000000 0.1301091379 0.1301091377 2.3448853970e-10 0.0000001802
8 0.0800000000 0.1470692411 0.1470692408 2.6973678846e-10 0.0000001834
9 0.0900000000 0.1636207105 0.1636207102 3.0523331085e-10 0.0000001865
10 0.1000000000 0.1797634447 0.1797634443 3.4091826584e-10 0.0000001896
11 0.1100000000 0.1954975461 0.1954975457 3.7673300590e-10 0.0000001927
12 0.1200000000 0.2108233177 0.2108233172 4.1262035455e-10 0.0000001957
13 0.1300000000 0.2257412584 0.2257412580 4.4852441206e-10 0.0000001987
14 0.1400000000 0.2402520595 0.2402520590 4.8439063871e-10 0.0000002016
15 0.1500000000 0.2543565996 0.2543565991 5.2016596586e-10 0.0000002045
16 0.1600000000 0.2680559414 0.2680559408 5.5579857383e-10 0.0000002073
17 0.1700000000 0.2813513270 0.2813513264 5.9123811402e-10 0.0000002101
18 0.1800000000 0.2942441739 0.2942441733 6.2643568111e-10 0.0000002129
19 0.1900000000 0.3067360708 0.3067360701 6.6134370202e-10 0.0000002156
20 0.2000000000 0.3188287734 0.3188287727 6.9591610252e-10 0.0000002183
21 0.2100000000 0.3305242001 0.3305241994 7.3010814061e-10 0.0000002209
22 0.2200000000 0.3418244283 0.3418244275 7.6387651760e-10 0.0000002235
23 0.2300000000 0.3527316895 0.3527316888 7.9717960011e-10 0.0000002260
24 0.2400000000 0.3632483660 0.3632483651 8.2997680950e-10 0.0000002285
25 0.2500000000 0.3733769858 0.3733769849 8.6222923246e-10 0.0000002309
26 0.2600000000 0.3831202191 0.3831202182 8.9389939895e-10 0.0000002333
27 0.2700000000 0.3924808743 0.3924808733 9.2495111570e-10 0.0000002357
28 0.2800000000 0.4014618930 0.4014618921 9.5534979927e-10 0.0000002380
29 0.2900000000 0.4100663470 0.4100663461 9.8506214297e-10 0.0000002402
30 0.3000000000 0.4182974335 0.4182974325 1.0140564499e-09 0.0000002424
31 0.3100000000 0.4261584710 0.4261584700 1.0423021890e-09 0.0000002446
32 0.3200000000 0.4336528958 0.4336528947 1.0697705499e-09 0.0000002467
33 0.3300000000 0.4407842573 0.4407842563 1.0964337771e-09 0.0000002487
34 0.3400000000 0.4475562148 0.4475562137 1.1222657248e-09 0.0000002508
35 0.3500000000 0.4539725325 0.4539725314 1.1472416350e-09 0.0000002527
36 0.3600000000 0.4600370766 0.4600370754 1.1713380266e-09 0.0000002546
37 0.3700000000 0.4657538105 0.4657538093 1.1945328615e-09 0.0000002565
38 0.3800000000 0.4711267915 0.4711267903 1.2168054342e-09 0.0000002583
39 0.3900000000 0.4761601667 0.4761601655 1.2381362047e-09 0.0000002600
40 0.4000000000 0.4808581691 0.4808581679 1.2585073539e-09 0.0000002617
41 0.4100000000 0.4852251141 0.4852251128 1.2779020619e-09 0.0000002634
42 0.4200000000 0.4892653952 0.4892653939 1.2963048412e-09 0.0000002649
43 0.4300000000 0.4929834808 0.4929834795 1.3137015364e-09 0.0000002665
44 0.4400000000 0.4963839105 0.4963839092 1.3300794355e-09 0.0000002680
45 0.4500000000 0.4994712908 0.4994712895 1.3454266035e-09 0.0000002694
46 0.4600000000 0.5022502924 0.5022502911 1.3597326598e-09 0.0000002707
47 0.4700000000 0.5047256459 0.5047256445 1.3729887227e-09 0.0000002720
48 0.4800000000 0.5069021386 0.5069021372 1.3851865210e-09 0.0000002733
49 0.4900000000 0.5087846109 0.5087846095 1.3963195045e-09 0.0000002744
50 0.5000000000 0.5103779530 0.5103779515 1.4063816778e-09 0.0000002756
51 0.5100000000 0.5116871013 0.5116870999 1.4153688221e-09 0.0000002766
52 0.5200000000 0.5127170352 0.5127170338 1.4232774959e-09 0.0000002776
53 0.5300000000 0.5134727737 0.5134727722 1.4301052564e-09 0.0000002785
54 0.5400000000 0.5139593721 0.5139593706 1.4358509937e-09 0.0000002794
55 0.5500000000 0.5141819188 0.5141819174 1.4405144855e-09 0.0000002802
56 0.5600000000 0.5141455324 0.5141455309 1.4440967311e-09 0.0000002809
57 0.5700000000 0.5138553580 0.5138553565 1.4465995068e-09 0.0000002815
58 0.5800000000 0.5133165645 0.5133165631 1.4480259214e-09 0.0000002821
59 0.5900000000 0.5125343418 0.5125343403 1.4483796384e-09 0.0000002826
60 0.6000000000 0.5115138971 0.5115138957 1.4476655430e-09 0.0000002830
61 0.6100000000 0.5102604528 0.5102604514 1.4458894082e-09 0.0000002834
62 0.6200000000 0.5087792431 0.5087792417 1.4430577844e-09 0.0000002836
63 0.6300000000 0.5070755112 0.5070755097 1.4391783321e-09 0.0000002838
64 0.6400000000 0.5051545067 0.5051545052 1.4342592669e-09 0.0000002839
65 0.6500000000 0.5030214828 0.5030214814 1.4283099148e-09 0.0000002839
66 0.6600000000 0.5006816937 0.5006816922 1.4213401567e-09 0.0000002839
67 0.6700000000 0.4981403917 0.4981403903 1.4133608728e-09 0.0000002837
68 0.6800000000 0.4954028252 0.4954028238 1.4043837204e-09 0.0000002835
69 0.6900000000 0.4924742356 0.4924742342 1.3944209121e-09 0.0000002831
70 0.7000000000 0.4893598549 0.4893598535 1.3834854373e-09 0.0000002827
71 0.7100000000 0.4860649039 0.4860649025 1.3715910074e-09 0.0000002822
72 0.7200000000 0.4825945890 0.4825945877 1.3587519998e-09 0.0000002816
73 0.7300000000 0.4789541006 0.4789540993 1.3449832914e-09 0.0000002808
74 0.7400000000 0.4751486105 0.4751486091 1.3303007584e-09 0.0000002800
75 0.7500000000 0.4711832695 0.4711832682 1.3147202771e-09 0.0000002790
76 0.7600000000 0.4670632059 0.4670632047 1.2982589448e-09 0.0000002780
77 0.7700000000 0.4627935230 0.4627935217 1.2809338035e-09 0.0000002768
78 0.7800000000 0.4583792968 0.4583792955 1.2627628387e-09 0.0000002755
79 0.7900000000 0.4538255746 0.4538255734 1.2437643693e-09 0.0000002741
80 0.8000000000 0.4491373728 0.4491373716 1.2239571578e-09 0.0000002725
81 0.8100000000 0.4443196750 0.4443196738 1.2033605223e-09 0.0000002708
82 0.8200000000 0.4393774303 0.4393774291 1.1819941692e-09 0.0000002690
83 0.8300000000 0.4343155511 0.4343155500 1.1598779159e-09 0.0000002671
84 0.8400000000 0.4291389123 0.4291389111 1.1370325237e-09 0.0000002650
85 0.8500000000 0.4238523486 0.4238523475 1.1134786981e-09 0.0000002627
86 0.8600000000 0.4184606537 0.4184606526 1.0892375335e-09 0.0000002603
87 0.8700000000 0.4129685782 0.4129685771 1.0643305126e-09 0.0000002577
88 0.8800000000 0.4073808284 0.4073808274 1.0387793403e-09 0.0000002550
89 0.8900000000 0.4017020649 0.4017020639 1.0126061101e-09 0.0000002521
90 0.9000000000 0.3959369009 0.3959368999 9.8583302632e-10 0.0000002490
91 0.9100000000 0.3900899011 0.3900899001 9.5848251558e-10 0.0000002457
92 0.9200000000 0.3841655802 0.3841655792 9.3057733741e-10 0.0000002422
93 0.9300000000 0.3781684019 0.3781684010 9.0214025139e-10 0.0000002386
94 0.9400000000 0.3721027777 0.3721027768 8.7319435016e-10 0.0000002347
95 0.9500000000 0.3659730653 0.3659730644 8.4376272635e-10 0.0000002306
96 0.9600000000 0.3597835680 0.3597835672 8.1386863915e-10 0.0000002262
97 0.9700000000 0.3535385337 0.3535385329 7.8353551425e-10 0.0000002216
98 0.9800000000 0.3472421533 0.3472421525 7.5278666634e-10 0.0000002168
99 0.9900000000 0.3408985604 0.3408985596 7.2164568765e-10 0.0000002117
100 1.0000000000 0.3345118299 0.3345118292 6.9013605941e-10 0.0000002063
