# Resultados del Sistema de EDOs - Variable y1
# dy1/dx = f1(x, y1, y2)
# dy2/dx = f2(x, y1, y2)
# Condiciones iniciales: y1(0.000000) = 0.000000, y2(0.000000) = 2.000000
# Intervalo: [0.000000, 1.000000]
# Paso h: 0.010000
# Número de pasos: 100
#
# x_i	y1_i
0.0000000000	0.0000000000
0.0100000000	0.0197996767
0.0200000000	0.0391974924
0.0300000000	0.0581918024
0.0400000000	0.0767811941
0.0500000000	0.0949644836
0.0600000000	0.1127407113
0.0700000000	0.1301091379
0.0800000000	0.1470692411
0.0900000000	0.1636207105
0.1000000000	0.1797634447
0.1100000000	0.1954975461
0.1200000000	0.2108233177
0.1300000000	0.2257412584
0.1400000000	0.2402520595
0.1500000000	0.2543565996
0.1600000000	0.2680559414
0.1700000000	0.2813513270
0.1800000000	0.2942441739
0.1900000000	0.3067360708
0.2000000000	0.3188287734
0.2100000000	0.3305242001
0.2200000000	0.3418244283
0.2300000000	0.3527316895
0.2400000000	0.3632483660
0.2500000000	0.3733769858
0.2600000000	0.3831202191
0.2700000000	0.3924808743
0.2800000000	0.4014618930
0.2900000000	0.4100663470
0.3000000000	0.4182974335
0.3100000000	0.4261584710
0.3200000000	0.4336528958
0.3300000000	0.4407842573
0.3400000000	0.4475562148
0.3500000000	0.4539725325
0.3600000000	0.4600370766
0.3700000000	0.4657538105
0.3800000000	0.4711267915
0.3900000000	0.4761601667
0.4000000000	0.4808581691
0.4100000000	0.4852251141
0.4200000000	0.4892653952
0.4300000000	0.4929834808
0.4400000000	0.4963839105
0.4500000000	0.4994712908
0.4600000000	0.5022502924
0.4700000000	0.5047256459
0.4800000000	0.5069021386
0.4900000000	0.5087846109
0.5000000000	0.5103779530
0.5100000000	0.5116871013
0.5200000000	0.5127170352
0.5300000000	0.5134727737
0.5400000000	0.5139593721
0.5500000000	0.5141819188
0.5600000000	0.5141455324
0.5700000000	0.5138553580
0.5800000000	0.5133165645
0.5900000000	0.5125343418
0.6000000000	0.5115138971
0.6100000000	0.5102604528
0.6200000000	0.5087792431
0.6300000000	0.5070755112
0.6400000000	0.5051545067
0.6500000000	0.5030214828
0.6600000000	0.5006816937
0.6700000000	0.4981403917
0.6800000000	0.4954028252
0.6900000000	0.4924742356
0.7000000000	0.4893598549
0.7100000000	0.4860649039
0.7200000000	0.4825945890
0.7300000000	0.4789541006
0.7400000000	0.4751486105
0.7500000000	0.4711832695
0.7600000000	0.4670632059
0.7700000000	0.4627935230
0.7800000000	0.4583792968
0.7900000000	0.4538255746
0.8000000000	0.4491373728
0.8100000000	0.4443196750
0.8200000000	0.4393774303
0.8300000000	0.4343155511
0.8400000000	0.4291389123
0.8500000000	0.4238523486
0.8600000000	0.4184606537
0.8700000000	0.4129685782
0.8800000000	0.4073808284
0.8900000000	0.4017020649
0.9000000000	0.3959369009
0.9100000000	0.3900899011
0.9200000000	0.3841655802
0.9300000000	0.3781684019
0.9400000000	0.3721027777
0.9500000000	0.3659730653
0.9600000000	0.3597835680
0.9700000000	0.3535385337
0.9800000000	0.3472421533
0.9900000000	0.3408985604
1.0000000000	0.3345118299
